bethel,18.2,-63.1
betty hill,18.2166667,-63.0
blowing point village,18.1666667,-63.0833333
cannifist,18.2333333,-63.0166667
cauls bottom,18.2166667,-63.0333333
chalvilles,18.2333333,-63.0
crocus hill,18.2166667,-63.0666667
george hill,18.2,-63.0666667
island harbour,18.25,-63.0
junks hole,18.25,-62.9833333
little dicks,18.2333333,-63.0333333
long bay village,18.1833333,-63.1166667
long ground,18.2,-63.05
long path,18.2166667,-63.0166667
lower south hill,18.1833333,-63.1
mahogany tree,18.2,-63.0333333
mount fortune,18.2333333,-62.9833333
north side,18.2166667,-63.05
sandy ground village,18.2,-63.0833333
shoal bay village,18.25,-63.0166667
south hill village,18.1833333,-63.0833333
the copse,18.2166667,-62.9833333
west end village,18.1666667,-63.15
