angochi,12.5166667,-69.95
arasji,12.6166667,-70.0666667
babijn,12.5333333,-69.9833333
balashi,12.4833333,-69.9666667
barcelona,12.5166667,-70.0166667
blumond,12.5333333,-70.9833333
boton,12.4833333,-69.95
brasil,12.45,-69.9166667
bubali,12.55,-70.0333333
bushiribana,12.55,-69.9666667
butucu,12.4666667,-69.9
calabas,12.55,-70.0
camacuri,12.5,-70.0166667
canashito,12.5,-69.9833333
cas ariba,12.5,-69.95
cas di paloma,12.4833333,-70.0
cashero,12.5166667,-69.9833333
catiri,12.5333333,-70.0166667
ceru colorado,12.4166667,-69.8666667
cura cabai,12.4333333,-69.9166667
druif,12.5333333,-70.0666667
fontein,12.5,-69.9
juwana morto,12.4333333,-69.8833333
largo cadushi,12.5166667,-69.9666667
macuarima,12.5,-69.9666667
madiki,12.5166667,-70.0333333
meiveld,12.5166667,-70.0
modansa,12.5333333,-70.0
noord cura cabai,12.45,-69.9333333
noord,12.5666667,-70.0166667
palm beach,12.5666667,-70.0333333
paradijs,12.5333333,-70.0333333
paraguana,12.55,-70.0166667
parkietenbos,12.4833333,-69.9833333
plantersrust,12.5,-70.0
pos chikito,12.45,-69.95
rooi congo,12.45,-69.9
rooi prikichi,12.5333333,-69.9666667
sabana basora,12.4666667,-69.95
sabana westpunt,12.6,-70.0333333
shete,12.5,-69.9333333
sint nicolaas,12.4333333,-69.9
