abdallar,42.9166667,26.1833333
abdikioy,42.9333333,27.8666667
abdioglu koy,42.75,26.7
abdul,43.6,26.8166667
abdulare,42.3166667,24.2833333
abdul kadir,41.6166667,25.6666667
abdulrakhmanlar,42.9833333,26.55
ablanica,43.0333333,24.6833333
ablanitsa,43.0313889,24.1127778
ablanitsa,41.5333333,23.9333333
aboba,43.3666667,27.1166667
abrashlare,42.35,25.0833333
abrid,43.9,27.8
abtarazak,42.7333333,27.3
acadanlar,43.8166667,27.15
acangiz,43.7333333,28.5
acbunar,43.85,27.3833333
acbunarul mic,43.7833333,27.4666667
achijane,41.6166667,25.0666667
achlare,42.5333333,26.9833333
achmatowo,42.1,25.05
achrjansko,41.6,25.1166667
achtepol,42.1,27.95
ada chala,41.6666667,25.9333333
ada ibaylu,41.6,25.6666667
ada izir,41.6,25.6833333
adakioj,43.6833333,26.6
adakioy,42.15,24.55
ada koy,41.4,25.3833333
adamovo,42.9666667,25.3166667
ada tepe,42.4666667,25.4666667
adlijo,43.8877778,22.5213889
adunkioy,42.0833333,24.4333333
adzar,42.5,25.0166667
adzemler,43.25,27.8166667
adzhievo,42.1333333,24.45
adzhilare,42.15,24.2833333
adzhiliy,42.2333333,24.2666667
adzhioluk,41.55,25.55
aekioy,42.5333333,26.2666667
aftane,42.4666667,26.8333333
agatovo,43.1333333,25.0
agios nikolo,42.45,27.65
aglen,43.2,24.3166667
ahiolo,42.55,27.65
ahmatlar,43.9,26.7333333
aiazlar,43.3166667,26.2833333
aibatkioi,43.8166667,26.9333333
aidanbet,43.75,27.9666667
aidan-ciufa,43.55,27.9333333
aidenur,44.1,27.1666667
aidogdu,44.0,26.9666667
aidordu,43.5833333,27.0
aievo,42.65,24.7333333
aimcha,43.2166667,25.2
aiorman,43.4833333,28.25
aiten,43.8166667,27.9
aitos,42.7,27.25
aivadzhik,42.45,24.3833333
aivadzhik,42.8666667,27.7166667
aivadzik,42.4,27.1666667
aivala,41.3833333,25.75
aj-orman,43.4833333,27.8666667
ajrowo,41.6166667,25.3666667
ajwas,41.4,25.3666667
akalan,41.45,26.15
akandshiewo,42.25,24.05
akandzhi,43.1166667,27.75
akandzhilari,43.05,24.9666667
akatsievo,44.0144444,22.8072222
ak bash balya,41.6666667,25.8333333
ak bash zir,41.6833333,25.8333333
ak bounar,42.3166667,26.4333333
ak bunar,42.3,26.1666667
ak-bunar,41.55,25.0833333
ak bunar,41.65,25.6333333
akcar,43.4666667,25.4166667
akcar,43.8111111,22.9183333
