10 de agosto,-1.2666667,-80.3833333
28 de mayo,-3.6327778,-78.9244444
abanico,-2.1166667,-78.1666667
abanin,-3.3333333,-79.5
abdon calderon,-3.2666667,-79.2666667
abdon calderon,-1.0333333,-80.3333333
abdon calderon,0.0927778,-76.8988889
abril,-3.05,-79.05
acacia,-2.2166667,-79.875
achiote,-1.2166667,-79.5166667
achiral,-4.4,-79.8
achote,-1.9166667,-79.6333333
achuentza,-2.8308333,-77.7602778
achuntza,-3.6972222,-78.5583333
achupallas,-2.2666667,-78.7333333
achupallas,-1.1333333,-78.4666667
adriana,-1.7,-80.0333333
africa,1.075,-79.2833333
africa,-0.7333333,-80.3166667
agato,-0.0833333,-78.3666667
agoyan,-1.3833333,-78.3166667
agua blanca,-1.5333333,-80.7333333
agua caliente,-0.4333333,-78.6666667
aguacatal,-1.3333333,-79.65
aguacatal,-1.6166667,-80.4333333
aguacate,-1.45,-80.3333333
aguada,-3.4833333,-80.1833333
aguada,-2.1333333,-80.6
agua fria,-0.9,-80.1333333
aguahedionda,-3.9666667,-79.2333333
agualongo,0.2833333,-78.2166667
agualonguito,0.3,-78.2166667
aguamasa,-1.0833333,-78.7166667
aguapiedra,-2.7166667,-80.0833333
aguarico 3,0.0188889,-76.6625
aguarico,0.05,-77.3666667
aguas aires,-2.1833333,-79.9833333
aguas blancas,-2.8,-78.7333333
aguas blancas,-1.7833333,-79.9166667
aguas blancas chico,0.1380556,-76.9902778
aguas verdes,-3.5,-80.2833333
aguas verdes,-2.3,-80.2666667
aguel,0.8833333,-78.0833333
aguirre,0.1166667,-78.75
agustin,-0.0333333,-78.45
ahuaca del carmen,-4.3,-79.55
ahuana,-1.0666667,-77.5166667
aichabug,-1.7166667,-78.7333333
aichapiche,-0.4833333,-78.5833333
ainche,-1.6666667,-78.5666667
ajigual,-1.55,-79.8833333
ajilanga,-4.25,-79.6166667
ajoshuaico,-3.0,-78.9
alabado,-1.75,-78.7333333
alabuela,0.1166667,-78.4
alagache,-0.15,-78.3166667
alambi,-0.0666667,-78.6
alamor,-4.0333333,-80.0333333
alangasi,-0.3,-78.4166667
alao,-1.9,-78.4833333
alaques,-0.8666667,-78.6
alaspungo,0.0,-78.6
alausi,-2.2,-78.8333333
alban,-0.1666667,-78.3833333
alborada,-1.9166667,-79.85
albornoz,-1.3,-78.55
alchipichi,0.05,-78.4
alegria,-1.8833333,-79.5833333
alegria,0.05,-78.1666667
alfaro,-2.2,-79.8333333
alfaro,-0.2333333,-78.5166667
alfredo baquerizo moreno,-1.9166667,-79.5166667
algarrobal,-3.0166667,-80.15
algarrobera,-4.0333333,-79.4
algarrobillo,-4.1666667,-80.05
algarrobos,-2.3,-79.7166667
algodonal,-4.1833333,-80.3166667
alhajuela,-1.0666667,-80.2833333
alicia,-1.0333333,-79.6
allpacruz,-2.7,-78.8
alluriquin,-0.3166667,-78.9833333
almendral,-4.0833333,-79.8
aloag,-0.4666667,-78.5833333
aloasi,-0.5166667,-78.5833333
alobamba,-1.3666667,-78.6333333
alobuela,0.3833333,-78.2
alobuela,0.1333333,-78.4
aloburo,0.4333333,-78.05
alor,0.45,-77.9
alpachaca,-2.9833333,-78.8833333
alpamala de toro,-1.05,-78.6666667
alpes,-0.4666667,-78.6666667
alshi,-2.2166667,-78.25
altamar,0.8,-79.4166667
altamirano,0.6,-77.7
altar,-1.5166667,-78.5
altar urco,-2.4666667,-79.0333333
alto tambo,0.8666667,-78.5333333
alubushco,-4.3166667,-79.8666667
alumbre,-3.3666667,-79.4333333
alusaca,-3.9833333,-79.7
alvarado,-2.85,-78.7666667
alvarez,-3.2833333,-79.9333333
alvarez,-2.1333333,-79.4333333
alvarez,-0.3,-78.5666667
amable maria,-3.95,-79.2166667
amaguana,-0.3666667,-78.45
a. maldonado,-3.7166667,-79.65
amalia,-1.9166667,-80.0
amalia,-1.5166667,-79.4333333
amalia moncada,-1.7833333,-79.8333333
amalusa,-4.6,-79.4166667
amaluza,-2.8333333,-78.4833333
amancayes,-3.8666667,-79.8
amanta,-2.6,-78.8166667
a. martinez,-1.2166667,-78.6166667
amashara,-3.2,-78.9833333
amazonas,-3.3833333,-78.7333333
amazonas,-1.6333333,-77.9833333
ambabaqui,-1.3,-78.5333333
ambatillo,-1.2333333,-78.65
ambato,-1.25,-78.6166667
amboasi,0.0166667,-78.5333333
ambuqui,0.4333333,-78.0166667
amelia,-1.9833333,-79.4333333
america,-0.9,-79.65
america,-1.4333333,-80.5166667
amula,-1.7,-78.7333333
ana,-2.0666667,-79.9166667
anaburo,0.4333333,-78.2333333
anafo,0.35,-78.2
anagumba,0.2,-78.4
ana maria,-0.9833333,-79.4166667
anangu,-0.5333333,-76.3833333
anasque,-1.55,-79.9833333
ancayacu,-0.7,-76.0
anchamasa,-0.3666667,-78.5166667
anchayacu,0.95,-79.0666667
anchola,0.0333333,-78.1166667
ancon,1.445,-78.8608333
ancon,-2.3333333,-80.8666667
anconcito,-2.3333333,-80.8833333
andagualo,-1.0833333,-78.5166667
andariales,-1.0,-80.1
andignato,-1.35,-78.6166667
andoas,-2.5666667,-76.6333333
andrade marin,0.3333333,-78.2166667
angamarca,-1.1166667,-78.9333333
angamarcalle,-1.0,-78.6166667
angapamba,-2.8833333,-78.8666667
angas,-2.9333333,-79.35
angas,-2.4,-78.9833333
angashco,-4.4666667,-79.8666667
angasmayo,0.8333333,-77.7
angela maria,-1.3833333,-79.9333333
angela maria numero dos,-1.4,-79.9333333
angeles,-1.5833333,-79.4333333
angelica,-1.8833333,-79.7833333
angelina,0.4666667,-77.9
angelina,-1.9166667,-79.6166667
angelita,-2.1333333,-79.6333333
angla,0.2,-78.1333333
angochagua,0.25,-78.0833333
angostura,0.4,-76.3333333
anguasha,-2.0166667,-77.95
animas,-1.5333333,-79.7
ankuash,-2.7113889,-77.5716667
anona,-1.2833333,-80.4666667
antisana,-2.95,-79.0166667
antonio elizalde,-2.1666667,-79.1
antonio jose holguin,-1.1166667,-78.5833333
antonio sotomayor,-1.65,-79.8
apagua,-0.9666667,-78.9333333
apatug,-1.3166667,-78.7
apuela,0.35,-78.5
arajuno,-1.2333333,-77.6666667
arapiccos,-1.85,-77.95
araujo,-0.5,-78.5666667
arcadia,-1.5333333,-80.0166667
arcadia,-0.3,-78.5333333
archidona,-0.9166667,-77.8
archiras,-4.1,-79.2666667
arcos,-3.55,-79.4833333
ardanza,-4.2833333,-79.5833333
arenal,-2.3666667,-79.0333333
arenillas,-3.55,-80.0666667
argelia,-0.2666667,-78.5333333
arias,-1.3333333,-79.8
ario,-2.2666667,-79.8666667
arizaga,-2.9166667,-78.7833333
armenia,-0.2833333,-78.4666667
armenia,-0.5333333,-77.0833333
aromo,-1.05,-80.9
arosemena,-1.2,-77.85
arquillo,-2.7666667,-79.45
arrastradero,0.1666667,-80.0666667
arrayan,-3.0833333,-79.05
arrayan,-2.4833333,-79.1166667
arrayan,0.7666667,-77.7833333
arrayancucho,0.1666667,-78.0333333
arrayan dormido,-2.4333333,-79.0166667
arres,-2.4833333,-78.95
arroyo,-0.9833333,-80.6666667
arrozal,-2.55,-79.3333333
arrozal,-0.7833333,-75.2833333
arsenio castillo,-4.3833333,-79.1833333
arteaga,-1.0666667,-78.55
artilleria,-1.9333333,-79.7166667
arvida,-1.7833333,-79.7833333
asancoto,-1.65,-79.0333333
asavo,-3.3219444,-78.4788889
ascasubi,-0.0833333,-78.2833333
ascension,-1.9166667,-79.75
asomana,-2.15,-78.55
aspur,-0.35,-78.5
astudillo,-3.0833333,-79.0166667
asuncion,-3.2,-79.25
asuncion,-2.9166667,-79.8
asuncion,-2.4833333,-78.1666667
atacames,0.8666667,-79.85
atacmes,0.8772222,-79.8797222
atahualpa,-0.95,-78.6
atahualpa,0.8666667,-78.9833333
atahualpa,-2.3166667,-80.7833333
atahualpa,-0.0333333,-79.9666667
atahualpa,0.1333333,-78.3833333
atalpamba,-0.0833333,-78.3166667
atapulo,-0.8666667,-78.75
atar,-2.6833333,-78.8833333
atilio,-2.1666667,-78.5666667
atocha,-1.0666667,-78.7166667
atocha,-1.2166667,-78.6
ato de la virgen,-2.5333333,-78.8666667
atravesado,-1.9,-80.75
atravesao,-2.2833333,-80.7
atuhuaycu,-2.55,-78.9166667
aucayacu,-1.5833333,-75.6166667
auquichico,-0.2166667,-78.4333333
auquigrande,-0.2166667,-78.45
aurora,-1.6166667,-79.9833333
avanin chico,-3.1833333,-79.2
avanzada,-3.55,-79.9833333
avelina,-0.8,-78.6333333
avila,-0.75,-80.3666667
avila,-0.6333333,-77.4166667
ayabamba,-3.6,-79.6666667
ayacucho,-1.15,-80.2833333
ayahuaycu,-2.55,-78.95
ayalan,-2.6166667,-80.2833333
ayambe,-1.6666667,-80.8166667
ayamu,-1.65,-76.0666667
ayancay,-2.8,-78.8666667
ayangue,-1.9833333,-80.7333333
ayantar,-3.4791667,-78.4855556
ayapamba,-2.7,-78.7333333
ayasa,-0.75,-79.4666667
ayaurcu,-0.4333333,-78.55
aycallate,-1.1333333,-78.55
ayora,0.0666667,-78.1333333
ayurcu,-0.4333333,-78.5666667
ayuy,-2.0833333,-77.6
azaya,0.3666667,-78.1166667
azogues,-2.7333333,-78.8333333
azucar,-2.25,-80.5833333
azucena,-1.85,-79.8166667
baba,-1.7833333,-79.6666667
babahoya,-1.8166667,-79.5166667
bachillero,-0.7833333,-80.2166667
bachirin,-2.5333333,-79.25
bacundo,-2.5333333,-77.3666667
badeal,-4.3833333,-79.9833333
baejon,-3.4833333,-79.1
baeza,-0.45,-77.8833333
bagatela,-2.0166667,-79.95
bagpancel,-2.9666667,-78.8333333
baguanche,-2.9,-78.9166667
bahia,-0.6,-80.4166667
bahia de la academia,-0.75,-90.3166667
bajada,-2.35,-80.25
bajada de chanduy,-2.3,-80.2833333
bajada de colonche,-2.0166667,-80.6
bajado,-2.75,-80.2
bajana,-3.65,-80.0166667
bajen,-2.3833333,-80.0833333
bajito,1.2997222,-78.9661111
bajo alto,-3.1166667,-79.9
bajo,1.2833333,-78.9666667
bajo de afuera,-1.1166667,-80.65
bajo grande,-1.0833333,-80.6833333
balao,-2.7333333,-79.75
balao grande,-2.9,-79.8333333
balaura,-1.85,-76.4333333
balbina,-0.35,-78.4833333
balcashi,-1.7,-78.5666667
balceria,-1.2333333,-79.3
ballenita,-2.2027778,-80.8694444
balsa,-1.3166667,-80.0
balsa,-1.2,-80.4166667
balsalita,-3.5833333,-80.2
balsapamba,-3.2166667,-79.2666667
balsapamba,-1.7666667,-79.1833333
balsa real,-4.2333333,-80.2333333
balsas,-3.7833333,-79.8166667
balsayan,-1.6,-78.6833333
balsay,-2.9,-79.05
balsiadero,-3.8666667,-80.0166667
balsillar,-2.9166667,-79.8666667
balvaneda,-1.7166667,-78.7666667
balvina,-0.3,-78.55
balzar,-1.3666667,-79.9
balzar,-0.5,-80.0833333
bamba,0.55,-79.65
bambil callao,-1.9666667,-80.6666667
bambil deshecho,-1.9833333,-80.6666667
banderas,-3.3863889,-78.2372222
bando,-3.95,-79.6666667
banepo,-1.5666667,-79.6666667
banife,-1.8666667,-79.9833333
banos,-2.9333333,-79.5
banos,-2.2166667,-80.7
banos,-1.4,-78.4166667
