anson,-51.5166667,-58.1166667
bahia fox,-51.95,-60.0333333
beaver settlement,-51.8583333,-61.25
bluff cove,-51.75,-58.1833333
bombilia house,-51.5166667,-58.7
burnside house,-51.7833333,-58.9333333
campo verde,-51.5333333,-58.9666667
cantera de arena,-51.4833333,-58.75
carcass island settlement,-51.2833333,-60.55
ceritos,-51.7166667,-58.85
chartres,-51.7,-60.0666667
cranmer,-51.3333333,-59.9333333
darwin,-51.8,-58.9833333
dos lomas,-51.7833333,-59.25
douglas settlement,-51.45,-58.5833333
dunnose head,-51.7333333,-60.4
estancia house,-51.6666667,-58.2166667
evelyn station,-51.5666667,-58.4166667
fitzroy,-51.7833333,-58.2333333
fitzroy north,-51.7333333,-58.25
foam creek house,-51.4666667,-58.3166667
fox bay west settlement,-51.95,-60.1
goose green,-51.8166667,-58.9666667
green patch settlement,-51.55,-58.1166667
hill cove,-51.5,-60.15
hope cottage,-51.8166667,-59.3166667
horqueta,-51.8666667,-59.2333333
horseshoe bay,-51.5333333,-58.2166667
johnson harbour settlement,-51.4833333,-58.0333333
johnsons harbour,-51.5,-58.0333333
keppel settlement,-51.3166667,-59.9333333
lively settlement,-51.9833333,-58.45
mare harbour rancho,-51.9,-58.4
mariqueta,-51.9,-59.4
mid rancho,-51.8333333,-58.6
new island settlement,-51.7166667,-61.2833333
north arm,-52.1,-59.35
pebble island farm,-51.3166667,-59.5833333
piedra sola,-51.5333333,-58.7666667
port howard,-51.6166667,-59.5
port louis south,-51.6,-58.15
port san carlos,-51.5,-58.9833333
port stanley,-51.7,-57.85
port stephens,-52.0833333,-60.8166667
rincon grande,-51.4833333,-58.3
roy cove,-51.5333333,-60.3833333
salvador,-51.4666667,-58.3666667
san carlos estate,-51.5666667,-59.0166667
saunders island settlement,-51.3666667,-60.0833333
speedwell island settlement,-52.2166667,-59.6833333
spring point settlement,-51.8166667,-60.45
tranquilidad,-51.7666667,-59.15
walker creek,-51.9666667,-58.7666667
weddell settlement,-52.8833333,-60.9
westpoint island settlement,-51.35,-60.6833333
