abouna sounga,4.05,-54.35
acarouani,5.6,-53.8
adieu-vat,4.8666667,-53.0
aeroplane conde,4.4166667,-54.4333333
agami,3.7666667,-53.2166667
agode,3.8333333,-54.1833333
akilengui,5.0833333,-54.4
akodo,5.1666667,-54.3333333
akoumenai,2.95,-52.4
akouti,4.3833333,-54.3166667
alicia,3.3833333,-52.9166667
alicoto,3.1166667,-52.35
alikene,3.3333333,-52.4166667
aloike,3.3166667,-54.0666667
amekan tabiki,4.8166667,-54.4666667
ana konde,4.2333333,-54.3833333
ancien degrad fourmi rouge,3.2833333,-53.6
ancien degrad francis,3.5166667,-53.75
ancien degrad jougla,5.5666667,-53.9333333
ancien degrad nicole,3.55,-53.8
ancien degrad vitalo,3.25,-53.5833333
ancien papaichton,3.8166667,-54.1666667
ancien village hubert,3.1,-53.25
ancien village mathurin,4.5333333,-52.5333333
ancien village poteau carre,4.5666667,-52.4
angouleme,5.4,-53.65
ankel,5.3,-54.2166667
antecume pata,3.2833333,-54.0666667
anton,5.5333333,-53.4333333
aouara,5.7333333,-53.9
apatou,5.15,-54.3333333
approuague,4.4166667,-51.9333333
aratai,3.9833333,-52.5666667
asisi,3.8166667,-54.2
aubry,5.05,-53.65
avenir,4.7666667,-53.75
babel,5.0166667,-54.4333333
badek,3.95,-52.9833333
baduel,4.9333333,-52.3166667
bagdad,3.85,-53.0833333
bagot,4.5333333,-52.55
baino,4.9333333,-54.45
balate,5.4833333,-54.05
balourou,3.5166667,-53.1
bamboula,3.8333333,-53.1833333
banana,4.7,-52.5333333
banc de sable,4.9833333,-52.75
banlieue-sud,4.9333333,-52.3333333
barkarel,3.55,-54.0
barthelemy,4.25,-52.55
bas-espoir,3.65,-53.6166667
batardeau,4.25,-52.7166667
baticane,5.4833333,-53.65
bauf bois,4.9666667,-53.05
bauf mort,3.4166667,-52.9666667
bauge,4.2333333,-52.2166667
beau rivage,4.7166667,-53.9166667
beau soleil,4.8666667,-52.25
belizon,4.25,-52.65
belle etoile,3.9833333,-52.9666667
bellevue,3.7666667,-54.1
benefica,4.8833333,-53.3166667
bernard,4.75,-53.9
bernardin,3.6166667,-53.7
bicade,3.4,-53.45
bienvenue,3.1166667,-52.7
biguiston,5.35,-54.15
bistouri,4.5333333,-52.65
bita,4.0333333,-52.55
blacus,3.6833333,-53.5333333
blicade,3.3,-53.85
bois bande,4.25,-52.5833333
bois couronne,4.8166667,-53.6833333
bois macaque,4.9833333,-52.7666667
bois martin,5.0,-54.4333333
bonidoro,4.9166667,-54.45
bonne entente,5.0,-53.85
borie,4.9333333,-53.45
bossou,5.0333333,-54.4166667
bostok,3.4333333,-53.9666667
boulanger,4.5666667,-52.4166667
bourda,4.9333333,-52.2833333
bourg de kourou,5.15,-52.65
brigandin,5.4166667,-52.9833333
buja-le-haut,3.1666667,-52.6833333
cabassou,4.8833333,-52.3
cacao,4.5833333,-52.4666667
cafe,3.7333333,-53.7166667
cambrouse,5.1833333,-53.4833333
cambrouze,3.65,-53.2333333
camelie,5.05,-54.4166667
camopi,3.1666667,-52.35
camp caimans,4.5666667,-52.2166667
camp charvein,5.5666667,-53.9
camp de coswine,5.6666667,-53.95
camp de remire,4.9,-52.2666667
camp maipouri,5.15,-53.9833333
camp rochambeau,4.8333333,-52.3833333
camp voltaire,5.05,-54.0833333
capon,3.9166667,-51.8333333
carbet brule,3.3666667,-52.8833333
carbet gaulettes,3.8333333,-53.1333333
carbet hocco,3.8,-53.0
carbet la nuit,3.7833333,-53.1833333
carbet la panne,4.1666667,-52.8833333
carbet mais,3.6333333,-53.0666667
carbet medard,5.4,-53.6666667
carbet mitan,3.3,-52.8
carbets,3.4166667,-53.8833333
carbet tonkin,4.85,-53.2666667
carbet toukan,5.2,-52.7666667
cariacou,4.8166667,-53.15
carrefour de mana,5.5,-53.9833333
carriere,4.2833333,-52.6666667
caussade,5.0666667,-52.6
caux,4.4833333,-52.0333333
central bief,4.5166667,-52.4666667
cent-sous,3.6666667,-53.3
certitude,3.8333333,-53.2666667
changement,4.4833333,-52.4166667
chantier forestier de socoumou,5.05,-52.6833333
chapelle saramaka,3.6166667,-52.6666667
charenton,4.2166667,-52.7666667
chatenay,4.95,-52.3166667
chatonnet,4.8833333,-53.0166667
chire,5.5333333,-53.5333333
chou-ming,4.2833333,-52.15
cite homat,4.9166667,-52.3166667
citron,4.7333333,-53.95
civet,3.4,-53.8333333
claude,4.9166667,-53.4
clement,3.3833333,-52.35
cochon brule,3.8833333,-53.05
coco,4.1333333,-52.5166667
cocoye,4.0666667,-54.15
cogneau,4.8666667,-52.3166667
cokioco,4.9166667,-53.5
combi,5.3333333,-52.9333333
combo,4.8833333,-52.3166667
conamama,5.45,-53.1333333
coralie,4.5166667,-52.35
cormontibo,3.8,-54.1333333
corossony,5.4166667,-53.0333333
couachi,5.6166667,-53.7166667
couasse,4.75,-53.2666667
coulor,5.0,-53.6
couman-couman,4.0333333,-51.6666667
couriege,4.8,-53.2833333
couy,4.0833333,-52.55
crique anguille,4.8333333,-52.5166667
crique jacques,5.65,-53.8333333
dagobert,3.95,-53.45
dagou ede,4.1666667,-52.2666667
danke,4.3666667,-54.35
dardanelles,3.75,-52.6333333
decheance,3.65,-53.5333333
decision,5.0,-53.9
decouverte,4.2166667,-52.6333333
degourdi,4.9666667,-53.0833333
degrad anel,4.3666667,-52.5833333
degrad balata,5.0,-52.6833333
degrad blanc,3.7333333,-53.2833333
degrad blockauss,4.65,-52.3333333
degrad bois blanc,3.8,-53.8833333
degrad brigette,4.2833333,-52.6166667
degrad cambrouze,4.7666667,-54.0
degrad camopi,3.3333333,-52.8166667
degrad canard,5.65,-53.7333333
degrad claude,2.8833333,-53.0833333
degrad clemencin,5.1,-54.2
degrad clerc,4.95,-52.7666667
degradcorreze,4.5166667,-52.3166667
degrad des cannes,4.85,-52.2666667
degrad dimanche,4.9833333,-53.5333333
degrad dore,3.4166667,-52.75
degrad etats unis,3.4166667,-53.4166667
degrad etienne,4.45,-52.55
degrad florian,5.4166667,-53.4333333
degrad fourgassie,4.6166667,-52.3166667
degrad fourmi,3.45,-53.5333333
degrad fromager,5.2333333,-52.9833333
degrad galouja,2.1666667,-52.9833333
degrad genipa,5.3666667,-53.4333333
degrad haut camopi,2.5,-53.0666667
degrad henri,5.4166667,-53.1333333
degrad imperatrice,4.0666667,-52.45
degrad jalbot,4.2,-52.6333333
degrad janson,5.0166667,-52.7166667
degrad jean-jean,4.2333333,-52.0
degrad kwata,3.4166667,-52.8666667
degrad la boue,5.3833333,-53.4333333
degrad laurens,3.2833333,-52.6666667
degrad limaroula,4.1833333,-52.3833333
degrad limousin,4.5666667,-52.3
degrad maman piraye,5.4,-53.3166667
degrad maraudeur,3.6,-53.7166667
degrad menado,4.6166667,-52.4166667
degrad moufflet,4.4666667,-52.3666667
degrad neuf,4.5166667,-52.7166667
degrad nicole,3.55,-53.75
degrad papa jean,4.95,-53.25
degrad pascal,5.4166667,-53.35
degrad patagai,5.4333333,-53.2333333
degrad perdu temps,5.05,-53.4
degrad pierette,4.0166667,-52.5666667
degrad pierre,4.95,-53.1833333
degrad pimpin,5.3166667,-54.1833333
degrad reinald,2.9166667,-53.2833333
degrad roche,3.4166667,-53.8333333
degrad saint-eloi,3.8,-53.3
degrad saint-leon,3.8833333,-53.3666667
degrad saint-paul,4.3833333,-54.3833333
degrad saint-pierre,3.1166667,-52.65
degrad samson,4.0333333,-53.4666667
degrad saramaka,5.0166667,-52.7
degrad sardine,3.6166667,-53.35
degrad savane,5.4833333,-53.25
degrad simon,5.15,-54.1666667
degrad tamanoir,5.4166667,-53.4
degrad t.h.r.,3.7166667,-53.5166667
degrad tigre,4.9666667,-53.1333333
degrad yaya,4.6166667,-54.3333333
delices,4.7333333,-53.7666667
depot lezand,4.9666667,-53.8
desirade,4.75,-53.9166667
deta,3.6666667,-53.5833333
deux branches,4.8833333,-53.0
deux fromagers,5.0,-53.7833333
deux jours,5.0166667,-53.15
devez,4.5166667,-52.4333333
diamant,5.1666667,-52.6333333
dieudonne,4.9166667,-53.3833333
dieu-merci,4.5666667,-52.75
divalon,4.75,-53.8833333
docris,3.8,-54.1166667
domremy,4.25,-52.75
dorlin,3.75,-53.55
dosmond,4.5833333,-52.7333333
dubol,4.1833333,-52.1833333
eau blanche,5.0666667,-53.4833333
eau claire,3.6,-53.5833333
edmond,4.6,-52.4333333
edwin,4.6833333,-53.9
ekeny,4.05,-52.4666667
elae,3.45,-54.0
elysee,4.75,-54.05
emerillon,3.4166667,-53.0666667
enene patatpe,2.3333333,-54.5
enfants perdus,3.8666667,-54.2166667
enfin,4.7333333,-53.9333333
entouca,3.4833333,-54.0166667
espoir,3.85,-53.35
farnous,4.95,-52.4166667
fermes de saint-elie,5.3666667,-53.0166667
filon doyle,4.5,-52.45
fleche,5.5333333,-53.4
florissante,3.3833333,-52.8833333
foreshere,5.2333333,-54.2833333
fortune,4.55,-52.3
fracas,4.75,-53.6666667
gaa caba,4.4833333,-54.4333333
gaillot,5.15,-53.65
galloni,5.2166667,-54.2166667
galmot,5.3166667,-54.0833333
gaston,4.2833333,-52.1333333
gervais,4.6833333,-53.9166667
goelette,3.2833333,-52.8
goupi patatpe,2.5166667,-54.3333333
grand bala,4.3833333,-54.3
grand bassin,4.5333333,-52.5166667
grand carbet,3.65,-53.8333333
grand citron,4.2666667,-54.3833333
grand lac,4.8166667,-53.7
