abeokuta,13.3666667,-14.6166667
abuko,13.4041667,-16.6558333
ahalulie,13.4666667,-14.9166667
alaji yoro,13.5230556,-16.2838889
alakounda,13.1666667,-15.9666667
albadarr,13.3344444,-16.3866667
alhaji abdoulie liegh,13.7,-15.2833333
alhaji bajonkoto,13.5333333,-15.8166667
alhaji dembo,13.4666667,-14.8833333
alicali kunda,13.5333333,-15.7333333
alijamadu,13.4,-16.4555556
alimaka,13.4666667,-14.4833333
aljamdu kamara kunda,13.4,-16.45
allahein,13.0727778,-16.7469444
alla kunda,13.1672222,-16.0113889
alla tenta,13.45,-14.6666667
alohungari,13.3166667,-14.2333333
alohungari banta,13.2666667,-14.1333333
alpha,13.4666667,-16.35
alpha hamjatu,13.4666667,-16.3166667
amdalai,13.4319444,-16.7225
amdallai,13.5883333,-16.4227778
ampaya,13.4525,-16.6908333
anias kunda,13.5666667,-15.1833333
arangalain,13.2066667,-16.1469444
arankon kunda,13.2333333,-15.9166667
arongkoli kunda,13.2333333,-15.8666667
baba,13.4333333,-15.45
babilon gunjur,13.2133333,-16.7461111
babou jobe,13.6,-15.3
badari,13.3333333,-14.1
badja kunda,13.4666667,-14.05
ba duma,13.35,-16.3333333
badume,13.4,-15.3666667
bafuloto,13.3188889,-16.6275
bafulotor,13.4397222,-16.3163889
bahdad,13.6166667,-15.1
bahen,13.5833333,-15.4166667
bahoom,13.5713889,-16.3286111
bahwa,13.2666667,-14.2833333
baiaba,13.5,-14.5
baien,13.5666667,-16.05
baijana,13.1869444,-16.3983333
baijangkortor,13.2666667,-15.9
baintengkay,13.6666667,-15.4
baipal,13.1761111,-16.0997222
bai tenda,13.45,-15.4166667
baitit mamu fana,13.6,-15.1166667
bajagar,13.1933333,-16.1813889
bajagar dumbutu,13.2094444,-16.1180556
bajagar jola,13.1944444,-16.1188889
bajankoto,13.3833333,-14.25
baji kunda,13.2152778,-16.0558333
bajilo,13.21,-16.2141667
bajiran,13.2833333,-15.9666667
bajong koto,13.2297222,-16.6494444
bajong kotor,13.4116667,-16.6616667
bajon koto,13.3666667,-15.6166667
bajonkoto,13.23,-16.0955556
bakadagy,13.7166667,-15.0166667
bakadagy,13.3,-14.3833333
bakadaji,13.65,-14.8333333
bakalari,13.4216667,-16.4266667
bakang,13.5044444,-16.1444444
bakary sambou,13.2388889,-16.6441667
bakau,13.4780556,-16.6819444
bakau kunku,13.3244444,-16.8008333
bakau nding,13.47,-16.6836111
bakendik,13.4561111,-16.4536111
bakote,13.4658333,-16.7002778
bakoteh,13.43,-16.6983333
ba kunda,13.2833333,-15.25
balangar,13.6666667,-15.3666667
balanghar njoben,13.6666667,-15.4166667
bala silla,13.45,-14.1333333
bali,13.5675,-16.1172222
bali hali hawah,13.59,-16.1116667
balingho,13.4833333,-15.6166667
ballen,13.1661111,-16.0947222
balo omar,13.5833333,-15.4333333
bamba,13.6333333,-15.2833333
bamba jallow,13.5666667,-15.3166667
bambaka,13.4,-15.7666667
bambako kura,13.6166667,-15.3
bamba kolon,13.6,-15.1333333
bambale,13.4833333,-15.3333333
bambatenda,13.5166667,-15.5833333
banatenda,13.3833333,-14.4833333
bandinto,13.0841667,-16.7436111
banenko,13.2833333,-14.1333333
bangali,13.5061111,-16.4122222
bangaly,13.4833333,-16.45
bangherr,13.7,-15.2666667
baniakan,13.3255556,-16.7475
bani bajenko,13.4166667,-15.2333333
bani,13.5166667,-14.6
bani,13.3833333,-13.8666667
banicuba yoroyel,13.4333333,-14.5333333
baniko,13.2666667,-14.4333333
banjul,13.4530556,-16.5775
banjul nding,13.3733333,-16.6572222
bankulling,13.2966667,-16.0725
bankuwule,13.4833333,-14.1333333
banni,13.55,-14.7333333
banni,13.5213889,-16.0069444
bansang,13.4333333,-14.65
banta killi,13.5833333,-15.7
