banksville,19.7,-79.85
battle ground,19.3833333,-81.4
belford estates,19.2833333,-81.2333333
blakes,19.3,-81.1
blossom point,19.6666667,-80.0833333
bodden,19.2833333,-81.25
botabano,19.3833333,-81.3833333
breakers,19.3,-81.2
breezy castle,19.3,-81.3666667
brinkleys,19.35,-81.2333333
cayman palms,19.2666667,-81.2666667
coral gables,19.3666667,-81.4166667
creek,19.75,-79.7666667
dog city,19.3,-81.3833333
east end,19.3,-81.1166667
frenchmans fort,19.7,-79.8833333
gun bay,19.3166667,-81.1
half moon bay,19.2833333,-81.1666667
half way pond,19.2833333,-81.3666667
head of bay,19.6666667,-80.0666667
hell,19.3833333,-81.4166667
high rock estates,19.2833333,-81.1333333
hutland,19.35,-81.2166667
knob hill,19.6833333,-79.8833333
lambert house,19.2666667,-81.4
lower valley,19.2833333,-81.2833333
midland acres,19.3,-81.2166667
molusca heights,19.7333333,-79.7833333
newland,19.2833333,-81.3
north side,19.35,-81.2
north sound estates,19.3,-81.3
north ward,19.2833333,-81.2666667
old man bay,19.35,-81.1833333
old stores,19.4,-81.4
omega gardens,19.3,-81.3333333
prospect park,19.2833333,-81.3333333
prospect,19.2666667,-81.35
red bay estate,19.2833333,-81.35
saint james,19.2666667,-81.3
sand bluff,19.3166667,-81.0833333
spot bay,19.75,-79.75
spotts,19.2666667,-81.3166667
upper land,19.35,-81.3833333
