aawinah,32.0533333,12.5697222
abar as sababil,32.8513889,13.4419444
abu ar rish,32.7288889,12.5016667
abu ghaylan,32.2666667,13.0166667
abu isa,32.7527778,12.6302778
abu kammash,33.0747222,11.7355556
abu njaym,30.5833333,15.4
abuqrin,31.45,15.25
abu salim,32.85,13.1666667
abu zayyan,32.0997222,12.9786111
acroma,32.0333333,23.6833333
ad dafiniyah,32.4166667,14.8
ad dawun,32.4333333,13.4666667
ad dayasir,32.1455556,12.9872222
ad dirsiyah,32.7166667,20.95
ad duwaysah,27.5166667,13.95
adiri,27.5,13.2666667
adjadabia,30.7591667,20.2230556
aea,32.8925,13.18
agar,27.5333333,14.15
agelat,32.7569444,12.3761111
aggar,25.9633333,13.5313889
agheila,30.2666667,19.2
ahl al wadi,32.005,12.4713889
ahqaf al jabbarat,32.6872222,21.9102778
ahqaf al jabhiyah,32.7241667,21.7213889
ahqaf ar ruzat,32.8316667,21.9044444
ailat lamwis,32.1333333,20.2333333
ain ghezaia,31.9041667,10.8141667
ain mara,32.75,22.3833333
ain zara,32.8133333,13.2697222
al aaqib,32.1286111,12.9452778
alabia,32.1833333,20.6
al abraq,32.7858333,21.995
al abyad,26.75,14.0166667
al adam,31.8636111,23.9252778
al akarit,32.6011111,13.9133333
al amamirah,32.4547222,14.1069444
al aquriyah,32.5333333,20.5666667
al asabiah,32.0333333,12.8666667
al ashhab,31.8833333,24.65
al assah,32.8333333,11.6333333
al aswaq,32.35,15.1333333
al athrun,32.8666667,22.2833333
al awaynat,21.5666667,24.8333333
al awaynat,25.7891667,10.5508333
al awiliah al sharqiyah,32.5666667,21.0333333
al aziziyah,32.5319444,13.0175
alba,32.8833333,22.2
al badr,26.1333333,14.8833333
al-baida,32.7663889,21.7416667
al bakhabikhah,32.0669444,12.5461111
al bakki,24.8516667,14.52
al barahimah,31.9333333,12.1833333
al bardi,31.7666667,25.0833333
al bardiyah,31.7666667,25.1
al barkat,24.8722222,10.1794444
al bayatinah,32.0341667,12.5263889
al baydan,25.8380556,14.2130556
al bayyadah,32.5636111,21.2488889
al birkah,32.1,20.0833333
al buayrat,31.4,15.7333333
al buhur,32.0544444,12.5619444
al burayqah,30.4166667,19.5786111
al faidiyah,32.6905556,21.9075
al fatih,32.8322222,13.2533333
al fawadil,32.0088889,12.3044444
al fawatir,32.45,14.5666667
al fawatir,32.5686111,13.9186111
al fayasilah,31.8569444,11.7647222
al-foqaha,27.8333333,16.35
al fujayj,26.55,13.2333333
al fuqaha,31.7833333,14.05
al fuqar,26.5666667,13.1666667
al fuwayhat,32.0833333,20.1
al ghaddarah,31.8077778,20.0583333
al ghazzabiyah,32.0166667,10.8333333
al ghiran,32.35,15.0333333
al ghuraybat,26.6,13.5666667
al ghurayfah,26.55,13.0833333
al ghut,32.3833333,15.1166667
al gubbah,32.7666667,22.25
al habarah,32.3666667,15.15
al hadariah,32.0166667,15.1833333
al hajarah,32.1202778,12.9677778
al halamah,31.7558333,14.0180556
al hamidiyah,32.8844444,13.3908333
al hamra,26.7166667,13.9
al haniyah,32.8411111,21.5208333
al hanshir,32.8994444,13.2375
al harabah,31.7738889,11.5436111
al harah,32.7630556,12.715
al hashiyah al hamra,32.7305556,12.5647222
al hatiyah,26.55,12.95
al hawamid,31.9752778,11.1622222
al hawwari,24.3166667,23.1666667
al hayshah,31.65,15.2833333
al himadah,32.4166667,20.6166667
al hiri,29.05,21.5166667
al hurshah,32.7647222,12.6738889
al huwayjat,32.3666667,14.5833333
al izziyat,32.25,20.0666667
al jaafirah,32.15,13.2833333
al jadid,27.05,14.4
al jaghbub,29.75,24.5166667
al jamil,32.8516667,12.0541667
al jawahiliyah,32.2080556,13.0375
al jawf,24.2,23.3
al jawsh,32.0,11.6666667
al jawsh al kabir,31.9955556,11.6569444
al jawsh as saghir,31.9941667,11.6694444
al juhaysh,32.1375,12.6541667
al jumah,32.4666667,14.4666667
al kararim,32.4,15.0666667
al karmah,31.9747222,19.9836111
al kashalifab,32.1197222,13.0258333
al katrun,24.9513889,14.6486111
al khadra,32.45,13.7666667
al khalaifah,32.01,12.4783333
al kharaiq,26.55,13.1833333
al khazur,32.0933333,12.6263889
al khirbah,31.8419444,11.1497222
al khirbah,31.8877778,11.8986111
al khums,32.65,14.2666667
al kufrah,24.1666667,23.25
al kulaybah,32.0475,13.0038889
al kumayshat,32.1427778,13.1063889
al kurrathiyah,32.6177778,13.9019444
al kurumah,31.8636111,11.8883333
al kussabat,32.5833333,14.0411111
al-kuwaifia,32.2,20.1833333
al laaqib,32.0677778,12.6763889
al labbah,29.0333333,21.5666667
al lamamish,32.1769444,13.0777778
al mabni,32.4333333,20.45
al magasibah al bahriyah,32.3666667,15.1
al magharibah,32.0869444,12.9730556
al maghasil,32.5775,14.1736111
al magrun,31.4416667,20.1580556
al mahjub,32.4333333,14.9833333
al mahruqah,27.4833333,14.0166667
al majabirah,31.86,11.1591667
al makili,32.1666667,22.2833333
al malaqi,23.3333333,15.5
al mallahah al bahriyah,30.6833333,12.0666667
al mallahah al gharbiyah,30.45,11.9333333
al mamurah,32.7191667,12.8569444
al mamurah,32.0283333,12.5730556
al manasir,32.1613889,12.8316667
al maqarin,32.15,20.1333333
al maqasibah al qibliyah,32.35,15.1
al maqawibah,32.4,15.1166667
al marj,32.5,20.8333333
al mashashitah,32.7986111,13.0
al mashwashin,32.0611111,12.53
al masil,32.2666667,20.9666667
al masufiyin,32.0575,12.9911111
al mawahi,29.4833333,22.4833333
al mayah,32.8019444,12.8791667
al mayamin,32.2333333,13.0538889
al milaytaniyah,32.3666667,20.6333333
al mukhayli,32.15,22.2
al mutrad,32.7616667,12.6158333
al qabil,32.1947222,13.0269444
al qaddahiyah,31.3666667,15.2333333
al qadhadhimah,31.6333333,20.1333333
al qahasat,32.1166667,13.0166667
al qalah,32.0480556,12.5611111
al qalil,32.5825,13.99
al qanafidh,31.8419444,11.8319444
al qaradin,32.0638889,12.545
al qarah,31.9541667,24.2008333
al qaraya,26.5333333,13.3666667
al qardabah,32.15,23.4833333
al qaryah al gharbiyah,30.4166667,13.4166667
al qaryah ash sharqiyah,30.4,13.6
al qasiah,32.4833333,13.95
al qat,31.8711111,11.8941667
al qawarishah,32.0333333,20.0666667
al qawasim,32.1836111,13.0566667
al qawati,32.0988889,12.6722222
al qayqab,32.7333333,22.0166667
al qusayr,31.9666667,12.0166667
al qusayr,32.0719444,12.5436111
al ubayyat,32.0830556,12.6952778
al uqaybah,32.0,12.3
al urban,32.1666667,13.15
al urqub,31.95,12.2166667
al urubah,32.1166667,20.0666667
al wadiyah,32.2202778,13.0827778
al watiah,32.4666667,11.7666667
al wigh,24.2702778,14.9755556
al wuqayyat,32.4166667,14.5833333
ambayyah,32.4166667,13.55
amzir,32.0694444,12.6941667
anay,24.1166667,11.3666667
an nadwah,31.8786111,11.8961111
an nakhlayn,32.2022222,13.0433333
an naqur,32.0461111,12.6572222
an nasariya,32.6327778,12.8736111
an nawfaliyah,30.7833333,17.8333333
an nawwaqiyah,31.9280556,20.1683333
an nusf,27.5333333,14.2
antalat,31.1355556,20.6011111
antipyrgos,32.0836111,23.9763889
anzu,32.0530556,12.6644444
apollonia,32.8966667,21.9630556
aqar atabah,25.9833333,13.5
ar rabitah al garbiyah,32.1575,12.8422222
ar rabitah,32.2333333,12.5666667
ar rabitah ash sharqiyah,32.1741667,12.8638889
ar rahbah,32.25,13.0333333
ar rahibat,31.7572222,11.87
ar rajmah,32.0666667,20.35
ar raqabah,26.6333333,13.6333333
ar rayayinah,32.0038889,12.3422222
ar rujban,31.95,12.1666667
ar rumiyah,32.0166667,12.5166667
asbiah,32.5166667,13.1666667
ashkada,27.55,14.4666667
ash saqarinah,32.0727778,12.5233333
ash shaafiyin,32.5922222,13.8697222
ash shabiniyah,31.95,12.2333333
ash shaqqi,32.0,12.0833333
ash sharsharah,32.4666667,13.6166667
ash shawah,30.9833333,10.55
ash shawashinah,29.1716667,21.2941667
ash shawati,32.3833333,15.1666667
ash shaykh bu ujaylah,32.7338889,12.395
ash shiafiyun,32.5733333,13.8811111
ash shitaf,32.0780556,13.02
ash shiyab,31.8816667,11.7947222
ash shurayf,29.9833333,14.2666667
ash shurraf,32.5833333,13.95
as sabiri,32.1333333,20.0666667
as sabiriyah,32.7283333,12.6411111
as saddadah,31.4833333,14.75
as safsaf,32.7802778,21.95
as salahat,32.1272222,13.1
as salamat,31.8780556,11.7783333
as saqabi,32.1666667,20.1333333
as saqaif,32.1508333,13.0288889
as sawadinah,32.0333333,12.6666667
as sawani,32.7166667,13.0666667
as shetat,26.05,13.65
as sidrah,30.65,18.3666667
as snudi,26.6333333,13.65
