abaladougou kenieba,12.0444444,-8.6280556
abdalaye,15.2833333,-5.3333333
abdoul sinia,14.9333333,-11.75
abdourahmane,14.7833333,-4.2333333
abdou salam,16.85,-0.35
abeibara,19.1166667,1.75
acil barhe,15.0,-9.2333333
adabai mahamoud,16.0833333,-2.6833333
adamabougou,13.3333333,-5.2
adia,14.95,-3.1166667
adiata,17.0,-1.4833333
adjiba,16.8,-2.3666667
adjila,10.55,-8.1833333
adjilamina,10.6666667,-8.25
adlaye sidi,15.3,-5.3166667
adourakame,14.2166667,-3.0333333
adyanabangou,16.0666667,-3.8833333
adyar,16.2333333,-3.5666667
adyengo,16.1,-3.7166667
afia,12.0333333,-10.6333333
agaminan taoussa,16.4166667,-3.1833333
agata,16.1166667,-3.0333333
ag enzali,16.9166667,-1.7833333
aguel-hoc,19.4544444,0.8563889
aguinaouiaoui,16.4,-0.1
ahagala,15.4833333,-9.25
ahaman koiro,16.8,-0.3166667
ahel barke,15.3666667,-11.55
ahel faloute,15.3666667,-11.6666667
ahmdeg,16.0666667,-2.6666667
aibongo,16.2166667,-3.25
aina,16.2333333,-3.2333333
ainamolo,14.7833333,-11.2166667
ainessaba,14.7833333,-11.2666667
aite,15.0833333,-11.65
aka,15.4,-4.2333333
akaban,16.2166667,-3.5
akarankom,16.7166667,-0.2666667
akor,14.8833333,-6.9666667
akor tegdawich,15.4,-6.9166667
akouakiza,16.05,-3.5
akoumbouro,14.4666667,-2.15
alabi,15.1666667,-1.5833333
alafo,16.1166667,-3.4
alahina,15.2333333,-8.75
alahine,14.6833333,-10.2166667
alaina,14.6666667,-11.1833333
alakanda,14.2166667,-3.6166667
alakat,16.7,-3.7166667
alamakolo,12.15,-10.6833333
alamba,16.85,-2.05
alamoutala,14.0,-13.75
alana,15.25,-9.7333333
alasio,14.9166667,-8.0166667
alassanila,14.35,-11.4833333
alatana,14.8,-5.9333333
alaya,12.1166667,-10.7166667
alekanda,14.5,-3.0666667
alfao,16.6333333,-3.7666667
alidiamani,12.8166667,-10.9833333
alifabougou,12.0908333,-8.0422222
ali hamadou lilae,10.6,-6.2
alikui,13.3333333,-4.6833333
alkamsara,16.2,-0.0833333
alkanabangou,16.7166667,-3.8833333
allah ina,14.4833333,-11.5
all,13.7666667,-3.6833333
almami,14.9333333,-5.0166667
almaniana,14.8333333,-5.3166667
almoustarat,17.3666667,0.0872222
aloulena,13.0166667,-9.55
ama,14.0833333,-3.75
amadilimane,14.7833333,-5.8333333
amadi oumourou,15.3333333,-9.65
amadou ali were,13.85,-4.9166667
amadou bafinnka,13.65,-5.7833333
amadoubougou,12.6877778,-7.3436111
amadou doso ware,14.2333333,-6.0833333
amadou mama,15.2,-8.4166667
amakabougou,13.95,-7.5333333
amakouladji,16.6,-0.1
ama koyra,16.0166667,-3.8666667
am,14.1666667,-2.9333333
amankobe,15.35,-5.5
amara,15.0166667,-9.05
amaragoungou,16.7833333,-2.35
amarekoulela,13.3666667,-7.45
amarosseldabay,16.2333333,-3.5
amata,16.5,-0.0666667
amba,14.7833333,-3.5333333
ambaka,14.9166667,-3.1166667
ambidedi,14.5833333,-11.7833333
amdalay,12.0205556,-8.3266667
amdalaye,12.05,-10.6166667
amderamboukan,15.4283333,3.0183333
amgoundji,17.05,-1.1333333
amilale,15.4166667,-11.6833333
ammdalai,13.5333333,-6.05
anakaga,14.0,-3.3
anakanda,13.8166667,-3.3333333
anamangatare,15.15,-9.1833333
anamerho,13.9,-11.4666667
anamouniela,13.8833333,-3.5333333
andagoye,15.5333333,-3.3333333
andakaga,14.1333333,-3.0666667
andelaye,13.5666667,-3.6333333
andiama,14.05,-3.4
andjebi,16.3333333,-3.1666667
anefis,18.04,0.6011111
anfoulgoulaye,15.9333333,-3.45
anfwakui,13.1333333,-4.75
anga,14.7166667,-3.5666667
angabere,16.5833333,-3.7333333
angambongo,16.3666667,-3.3666667
angira,15.8166667,-4.1
anguihoro,12.7,-10.2166667
ankora,15.9666667,-3.6833333
ankoum,15.25,0.7166667
ankoum myo,15.2666667,0.7333333
ansofiri,14.0833333,-10.3166667
ansongo,15.6594444,0.5016667
antam,15.2833333,0.7166667
antam myo,15.2833333,0.7333333
ante,14.65,-3.1666667
antona,12.5,-5.7166667
aore,15.5166667,-4.3166667
aoua,16.9833333,-0.4666667
aouadi,14.75,-6.5666667
aoudiai yoro ali,15.0833333,-9.5833333
aoueina,14.8666667,-8.3833333
aouga,15.9333333,-3.5
aouoye,15.3833333,-4.1166667
aourou,14.95,-11.5833333
aouzourou,16.95,-0.3666667
ara ara aramgoui,16.4333333,-3.3166667
ara ara harikouna,16.4,-3.3333333
arabangi,15.1,-1.9333333
arabebe,16.0666667,-3.8
arabou,16.1666667,-0.0166667
araham,16.3833333,-3.3666667
aranga,15.4666667,-4.1666667
araouan,18.9,-3.55
arbichi,16.8166667,-2.25
archani,14.8666667,-8.6166667
argaga,16.75,-0.25
argan,17.0,-1.3333333
argueto,12.9333333,-9.9
arh,14.9833333,-8.4833333
arhor,15.3666667,-6.55
aridiana,13.8166667,-3.4833333
