abailah,24.2666667,56.15
abal,24.4333333,56.05
abat,22.5505556,59.3280556
abayah,23.1752778,58.8141667
abbasah,23.9166667,57.2166667
ablah,23.1683333,56.9091667
abu abali,23.7711111,57.6769444
abu akaisha,21.4,59.2833333
abu al hisn,23.7802778,57.6352778
abud,24.5488889,56.1013889
abu durus,24.1961111,56.8741667
abu nukhayl,23.7055556,58.015
abu qalah,22.5455556,59.5063889
abu qarayt,26.1741667,56.2763889
abu rumaila,17.4,53.9166667
abyad,23.4613889,57.665
adaakham,17.1791667,54.3838889
adam,22.3833333,57.5333333
adanham,17.1775,54.3702778
ad daffah,22.2930556,59.8205556
addah,22.5997222,59.2688889
ad danah,25.7683333,56.1969444
ad dar,23.1725,57.6705556
ad darayn,26.0969444,56.1952778
ad dariz,22.5836111,58.6830556
ad dariz,23.3119444,56.6147222
ad das,23.2391667,57.5352778
addas,25.8586111,56.3672222
ad dawaniq,24.5827778,56.5563889
ad duwaykah,23.6986111,58.0372222
adheet,17.1905556,54.5330556
adhjoord,17.1366667,54.3833333
afa,23.2366667,58.8969444
afi,23.4444444,57.8044444
aflaj,22.3822222,58.2127778
aflaj,23.595,57.9930556
afranji,23.4475,56.2222222
aged,20.5666667,58.8166667
agyaan,17.1691667,54.2166667
ahyawf,17.125,54.4305556
aimus,26.0394444,56.3883333
aini,25.8483333,56.1716667
aiyuun,23.5166667,56.9166667
ajib,24.7777778,56.2897222
ajma,23.0702778,58.6144444
ajran,24.0333333,56.1666667
ajreezi,17.1422222,54.4466667
akbul,24.4833333,56.0666667
akkad,17.0033333,54.0377778
akroont,17.1191667,54.3338889
aktam,23.8963889,56.565
akur,23.44,57.3205556
al ababah,23.0252778,57.6677778
al ablah,24.1,56.45
al abyad,23.0205556,57.5222222
aladan,23.4380556,57.6711111
al adhfayn,22.5677778,59.1113889
al afifah,24.4111111,56.7047222
al afrad,23.8336111,57.4480556
al ahjal,23.45,56.8833333
al ahmadi,22.4286111,58.0177778
al ahramiya,24.6172222,56.0269444
al ajal,23.2663889,57.2677778
al ajal,23.4927778,57.9494444
al akhdar,23.2225,56.4616667
al akhri,23.8,56.7666667
al ala,23.0719444,57.1311111
al alayah,23.3927778,57.435
al aliyah,22.9236111,58.0544444
al amarat,23.5241667,58.4975
al ambah,23.2713889,57.3288889
al amirah,24.15,56.4166667
al aqabah,25.9327778,56.4086111
al aqar,23.0722222,57.6666667
al aqariyah,23.3258333,56.3866667
al aqir,23.7797222,56.6211111
al aqli,23.8086111,56.7713889
al aqud,23.4597222,57.3111111
al araqi,23.2802778,56.5363889
al arid,23.4313889,56.6266667
al arkub,25.8138889,56.3055556
al asansar,23.7166667,56.9
al ashkhara,21.85,59.5666667
al ashkhar,23.0408333,58.7016667
al ashqar,24.3166667,56.1333333
al ashtana,26.0927778,56.2113889
al asrar bani sad,24.5908333,56.55
al asrar bani umar,24.6052778,56.5416667
al awabi,23.3061111,57.5311111
al awaya,17.8833333,53.05
al awaynat,23.2108333,57.6622222
al awhi,24.3958333,56.6702778
alayah,23.3766667,57.8225
alayat dank,23.5525,56.2808333
alayat misfah,22.9694444,58.2952778
alayat samail,23.3,57.9833333
al ayinah,23.0625,57.9480556
al ayn,23.0725,57.6625
al ayn,23.1397222,57.8436111
al ayn,17.0830556,54.0316667
al aynayn,22.6666667,58.0333333
al ayr,23.2136111,57.4594444
al ayshah,23.0411111,57.1427778
al bajariyah,23.5333333,58.5166667
al banah,23.2836111,56.8936111
al barmiyah,23.3894444,57.6627778
al basatin,23.3219444,57.0280556
al bataykhi,26.1963889,56.2794444
al batin,22.4702778,59.1066667
al bayd,23.4680556,57.6608333
al bidah,23.8311111,57.475
al bidayah,23.1547222,57.7380556
al bilad,26.2180556,56.4586111
al birak,26.1058333,56.3316667
al bir,23.2191667,57.4413889
al bir,23.3730556,57.9727778
al budaah,23.1372222,58.4013889
al budayah,23.8952778,57.2361111
al bulaydah,24.8416667,56.4172222
al bulaydah,22.0058333,59.3547222
al burayk,23.9441667,57.1608333
al buraymi,24.25,55.75
al burj,17.4,53.9
al burj al saliya,17.9166667,53.5166667
al burr,23.2236111,57.3230556
al bustan,23.57,58.6138889
al but,26.1191667,56.3361111
